"Cash On Pickup","Barzahlung bei Abholung"
"Cash On Pickup Payment","Barzahlung bei Abholung (Zahlungsart)"
"Handling fee percent based on shipping price, not on cart totals.","Bearbeitungsgebühr in Prozent basiert auf dem Versandpreis, nicht auf den Einkaufswert."
